Log file open, 06/01/15 13:10:01
LogInit:Display: Running engine for game: FightorFlight
LogInit: Version: 4.7.6-2513093+++depot+UE4-Releases+4.7
LogInit: API Version: 2455222
LogInit: Compiled (64-bit): Apr 15 2015 12:09:54
LogInit: Compiled with Visual C++: 18.00.21005.01
LogInit: Build Configuration: Development
LogInit: Branch Name: ++depot+UE4-Releases+4.7
LogInit: Command line:  /Temp/Autosaves/Game/FirstPersonBP/Maps/UEDPCFirstPersonExampleMap -game -PIEVIACONSOLE -ResX=1280 -ResY=720  -Multiprocess -featureleveles2 -faketouches 
LogInit: Base directory: C:/Program Files/Epic Games/4.7/Engine/Binaries/Win64/
LogInit: Rocket: 1
[2015.06.01-17.10.01:087][  0]LogTaskGraph: Started task graph with 3 named threads and 4 total threads.
[2015.06.01-17.10.01:132][  0]LogOnline:Warning: No default platform service specified for OnlineSubsystem
[2015.06.01-17.10.01:154][  0]LogInit: Presizing for 0 objects not considered by GC, pre-allocating 0 bytes.
[2015.06.01-17.10.01:172][  0]LogInit: Object subsystem initialized
[2015.06.01-17.10.01:175][  0]LogConsoleResponse:Warning: Skipping Unknown console variable: 'TranslucentSortAxis = (X=0.000000,Y=-1.000000,Z=0.000000)'
[2015.06.01-17.10.01:175][  0]LogConsoleResponse:Warning:   Found in ini file 'C:/Users/Nirav/Documents/GitHub/Fight-or-Flight/FightorFlight/Saved/Config/Windows/Engine.ini', in section '[/Script/Engine.RendererSettings]'
[2015.06.01-17.10.01:175][  0]LogConsoleResponse:Warning: Skipping Unknown console variable: 'UIScaleRule = ShortestSide'
[2015.06.01-17.10.01:175][  0]LogConsoleResponse:Warning:   Found in ini file 'C:/Users/Nirav/Documents/GitHub/Fight-or-Flight/FightorFlight/Saved/Config/Windows/Engine.ini', in section '[/Script/Engine.RendererSettings]'
[2015.06.01-17.10.01:175][  0]LogConsoleResponse:Warning: Skipping Unknown console variable: 'UIScaleCurve = (EditorCurveData=(Keys=),ExternalCurve=None)'
[2015.06.01-17.10.01:175][  0]LogConsoleResponse:Warning:   Found in ini file 'C:/Users/Nirav/Documents/GitHub/Fight-or-Flight/FightorFlight/Saved/Config/Windows/Engine.ini', in section '[/Script/Engine.RendererSettings]'
[2015.06.01-17.10.01:176][  0]LogInit: Selected Device Profile: [Windows]
[2015.06.01-17.10.01:176][  0]LogInit: Applying CVar settings loaded from the selected device profile: [Windows]
[2015.06.01-17.10.01:197][  0]LogInit: Computer: NEE_LAPTOP
[2015.06.01-17.10.01:197][  0]LogInit: User: Nirav
[2015.06.01-17.10.01:197][  0]LogInit: CPU Page size=4096, Cores=2
[2015.06.01-17.10.01:198][  0]LogInit: High frequency timer resolution =1.656392 MHz
[2015.06.01-17.10.01:198][  0]LogMemory: Memory total: Physical=5.9GB (6GB approx) Virtual=131072.0GB
[2015.06.01-17.10.01:198][  0]LogMemory: Platform Memory Stats for Windows
[2015.06.01-17.10.01:198][  0]LogMemory: Process Physical Memory: 45.79 MB used, 45.79 MB peak
[2015.06.01-17.10.01:198][  0]LogMemory: Process Virtual Memory: 22.29 MB used, 22.29 MB peak
[2015.06.01-17.10.01:198][  0]LogMemory: Physical Memory: 3534.27 MB used, 6023.27 MB total
[2015.06.01-17.10.01:198][  0]LogMemory: Virtual Memory: 287.48 MB used, 134217728.00 MB total
[2015.06.01-17.10.01:257][  0]LogD3D11RHI: Found D3D11 adapter 0: Intel(R) HD Graphics 4000 (Feature Level 11_0)
[2015.06.01-17.10.01:257][  0]LogD3D11RHI: Adapter has 32MB of dedicated video memory, 0MB of dedicated system memory, and 1760MB of shared system memory, 1 output[s]
[2015.06.01-17.10.01:259][  0]LogD3D11RHI: Found D3D11 adapter 1: Microsoft Basic Render Driver (Feature Level 11_0)
[2015.06.01-17.10.01:259][  0]LogD3D11RHI: Adapter has 0MB of dedicated video memory, 0MB of dedicated system memory, and 256MB of shared system memory, 0 output[s]
[2015.06.01-17.10.01:259][  0]LogD3D11RHI: Chosen D3D11 Adapter Id = 0
[2015.06.01-17.10.01:279][  0]LogRHI: Texture pool is 638 MB (70% of 912 MB)
[2015.06.01-17.10.01:286][  0]LogD3D11RHI: Async texture creation enabled
[2015.06.01-17.10.01:354][  0]LogTextLocalizationManager: The requested culture ('en_US') has no localization data; parent culture's ('en')
